spectral_radius,fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1.0,7,gypsum,24,864.3280687174289,1522.0864357108499,0.040962434283100785,762.8543887036726,51.44878782968376
1.0,8,iron,24,4617.635868165996,5762.757091020525,0.1550874858957385,-620.0218826555383,22.775915593724754
1.0,9,nickel,24,5964.574511556985,6962.691817356283,0.18738016403696622,-4547.4505364445395,30.8309651460729
1.0,10,pdms,24,174.4967474163409,218.42785036598735,0.005878336641267757,-155.72696696801373,42.53617657228074
1.0,11,ps_foam,24,177.06275478499234,260.02751410858116,0.006999375065444585,177.06275478499234,347.06764912517076
1.0,12,pu_foam,24,116.95012226270791,184.92747837113035,0.00497677365896716,116.3007095164241,150.7673062702784
1.0,13,titanium,24,4709.3618345563,5579.545806905746,0.1501568985063507,4053.5423641809607,57.30875552270267
1.0,14,wood,24,1612.3812739972116,3290.063775637399,0.08854229170882606,1270.264120766089,60.18026852088929
1.2,1,aluminum,24,9077.46174956133,9744.0876248926,0.2622331686419834,-8596.43220345532,37.38739460884337
1.2,2,bismuth,24,9033.29098826538,9500.0557447024,0.2556657756078262,9033.29098826538,277.11464252947735
1.2,3,cement,24,231.0773976238515,305.7374420549695,0.008228014903904679,71.5445885441362,28.468474960567256
1.2,4,copper,24,24246.941319582696,24617.717137464533,1.029013981936458,-24246.941319582696,64.67143166397854
1.2,5,cork,24,148.2432884523683,176.21684676890123,0.004742352888766962,83.70277581428444,82.82806023699119
1.2,6,graphite,24,3321.2767523369725,4300.64641814851,0.11573912108085241,-1280.4644040961532,25.97780952892964
1.2,7,gypsum,24,883.9135641364013,1563.5342157100627,0.04207787814000978,780.6380406913844,53.21522752443146
1.2,8,iron,24,4721.0886303459,5806.26593823816,0.15625839725337995,-1048.6074844621787,26.99641125130713
1.2,9,nickel,24,6112.055108988329,7149.74901731141,0.1924142528249425,-4958.294815415893,29.706069362977683
1.2,10,pdms,24,188.0144078942641,227.24641447492166,0.006115662094217366,-174.39859454251052,44.23489096503194
1.2,11,ps_foam,24,157.54498004821127,219.6784789207362,0.00591326680579858,157.54498004821127,333.03073528526187
1.2,12,pu_foam,24,128.8984403651726,205.55537154667078,0.0055319121181094475,128.23171685680336,129.4605380395456
1.2,13,titanium,24,4891.778732198837,5877.673661296535,0.1581801239664352,4449.263026615856,69.12274420586031
1.2,14,wood,24,1695.605812588384,3381.9011508515414,0.09101382181295244,1354.9102164658232,58.761210604981486
1.5,1,aluminum,24,9411.911236187849,10146.380416689644,0.2730596839172842,-8815.95959806795,39.100195638796706
1.5,2,bismuth,24,9160.033911578097,9749.418095016485,0.26237662240848764,9160.033911578097,287.7347825523916
1.5,3,cement,24,150.28703961027455,180.91690581011585,0.004868841013938733,-4.710207589964829,24.517771061224988
1.5,4,copper,24,24518.970519818704,24888.291715182953,1.0403239268055982,-24518.970519818704,66.83727031908472
1.5,5,cork,24,152.8461560673184,182.52250481971052,0.004912050941031222,88.71401956527843,88.95215289824232
1.5,6,graphite,24,3365.700399899635,4056.028086385932,0.10915594544497816,-974.418569236941,22.220672883920635
1.5,7,gypsum,24,973.8380657673964,1855.262297698689,0.04992887273967801,874.9214290411293,46.76987246048151
1.5,8,iron,24,4331.132236315528,5354.061216019804,0.1440886506596352,-759.9527942495051,18.542158480768496
1.5,9,nickel,24,6086.609152228346,7088.422921951273,0.1907638431687684,-4640.137541381605,30.751366570332866
1.5,10,pdms,24,186.90555480950445,225.6128339751242,0.006071699128449356,-163.29704703639007,41.18499124529045
1.5,11,ps_foam,24,170.26969263196506,246.0767895350309,0.006623851905675354,170.26969263196506,371.38420247189936
1.5,12,pu_foam,24,146.07519350304347,246.90099622827609,0.006644606768149508,145.36192699152153,152.91245451316294
1.5,13,titanium,24,5337.010021731912,6317.928505665634,0.17002827510107407,4766.459183435517,75.72865216074145
1.5,14,wood,24,1824.0191644420727,3805.234738907959,0.10240658760715764,1477.137130182881,59.110561128684694
2.0,1,aluminum,24,9440.78745350013,10260.898096704439,0.2761415870417072,-9013.061672585094,36.81980811227529
2.0,2,bismuth,24,8858.626249292398,9470.880849865507,0.25488061999219624,8858.626249292398,282.99354935051963
2.0,3,cement,24,125.36496279436989,143.512495346868,0.0038622124351988165,-37.61208192027353,21.391826788209617
2.0,4,copper,24,24669.305672338774,25050.024821803432,1.0470843273384818,-24669.305672338774,65.85342900531248
2.0,5,cork,24,152.93116631475877,182.4615765280682,0.004910411237080235,88.79814536520132,87.61831856845748
2.0,6,graphite,24,3249.736707899305,3899.3005816667687,0.10493809029444931,-869.798307090945,25.643122208081927
2.0,7,gypsum,24,1347.638046112839,2566.4620930646583,0.06906870225023251,1231.50421538926,71.61983220106069
2.0,8,iron,24,4496.717482471763,5526.395584589118,0.1487265181825419,-1594.3976320316233,24.388301133875846
2.0,9,nickel,24,6113.947450095693,7086.838860562939,0.19072121286276367,-4971.866965752265,31.17646159407399
2.0,10,pdms,24,195.63698756529263,230.66035750924334,0.00620753822812716,-176.73746925344128,47.21451073330157
2.0,11,ps_foam,24,163.24412838118374,231.63739969177382,0.006235174939795027,163.24412838118374,350.8745897671995
2.0,12,pu_foam,24,135.55807220836968,242.0824400640109,0.006514929644966972,135.2406646449879,149.71950845230916
2.0,13,titanium,24,5613.120468038681,6751.1627539996725,0.18168748775169052,5100.68298918096,65.46834027365492
2.0,14,wood,24,1182.4864463134447,2800.9811438844836,0.07538008574459748,846.5488410279808,58.0558702128082
