leak_rate,fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
0.9,6,graphite,24,4216.8244079757105,5169.557264224898,0.13912327496016538,-969.7418665256233,42.928836616957
0.9,7,gypsum,24,743.564841860384,1343.0402235405584,0.036143937430628374,638.8393409945256,47.789636508975775
0.9,8,iron,24,4161.987912036225,5726.724781336682,0.1541177833329511,-276.11418815683993,18.46892930260622
0.9,9,nickel,24,6597.17423604996,7441.238873253226,0.20025883627833282,-4731.212933362941,33.837155148572684
0.9,10,pdms,24,192.98830344403828,229.71386015241444,0.006182066063821244,-169.81911145730206,46.161422169028086
0.9,11,ps_foam,24,172.0121606691229,250.5620834322257,0.006744586260933262,172.0121606691229,404.4019215874622
0.9,12,pu_foam,24,125.23510111706368,206.58755461212112,0.00555969025868981,124.65742546050234,163.25593511067297
0.9,13,titanium,24,5260.855249740416,6484.927432332388,0.17452255505682476,4705.5177839672015,56.68767720353911
0.9,14,wood,24,1820.5568479290112,3783.470960726829,0.10182088017781564,1486.1020466240568,58.98748886482457
1.0,1,aluminum,24,9799.474516081511,10457.464859571744,0.281431597462458,-9610.203379263696,42.277548622437656
1.0,2,bismuth,24,8746.728147485757,9262.921756222173,0.24928401883533755,8746.728147485757,276.500311353278
1.0,3,cement,24,161.89028926610408,197.74719106782598,0.0053217781387038055,5.025462499756858,26.632270255498756
1.0,4,copper,24,24616.554795806118,25002.83841784641,1.0451119482930185,-24616.554795806118,65.62808395546455
1.0,5,cork,24,159.09590544314545,187.93055698690014,0.005057592597733936,92.78041937580763,96.48453395831153
1.0,6,graphite,24,4133.200764601421,5057.56754004939,0.1361094042565746,-1438.569498158111,28.48148294143386
1.0,7,gypsum,24,625.853394704503,1029.8550320177735,0.02771548847713576,528.736411349411,56.949685322075304
1.0,8,iron,24,4310.881551236106,5404.096910176791,0.14543521271132162,-349.4821928497657,20.79949358104571
1.0,9,nickel,24,6163.277100633294,7070.618571058524,0.19028469196139505,-4625.163888224052,31.27547151548842
1.0,10,pdms,24,187.5756595298238,223.26722338793337,0.00600857398832768,-169.92584239525982,41.561458627739555
1.0,11,ps_foam,24,175.81228976687308,247.3264003879585,0.006657488711670577,175.81228976687308,389.44343489886694
1.0,12,pu_foam,24,123.52667359412203,188.87754818588232,0.005083078052334197,123.00363318517952,161.7014879929844
1.0,13,titanium,24,5027.8041056703205,6322.219140521462,0.17014374479069952,4383.903821157956,59.110192127142945
1.0,14,wood,24,1439.0601635897,2960.3426498466993,0.07966882721293898,1095.5953689435116,58.33788706612965
1.5,1,aluminum,24,9353.32747390888,10250.162634586497,0.27585267397396834,-9353.32747390888,40.41969655512522
