window_end_s,fold,held_out_material,rmse,nrmse_training_range,bias
5.0,4,copper,25245.516075340172,1.0552558093695856,-24793.04343139911
5.0,5,cork,124.99708455268849,0.0033639251631445285,42.74221603040291
5.0,6,graphite,5395.197618500354,0.14519571471573509,-992.9733966091741
5.0,7,gypsum,2763.557744875625,0.07437294614556761,1312.7397852372148
5.0,8,iron,6258.0128423800625,0.16841582303377908,1575.034747796936
5.0,9,nickel,7313.1292309923465,0.19681114587191245,-3956.2502665335146
5.0,10,pdms,280.068087088337,0.0075372004788886605,-106.93151257187183
5.0,11,ps_foam,187.11521260443433,0.005036734508494919,132.8132132353921
5.0,12,pu_foam,147.1606374951869,0.00396039134245393,118.30087024731377
5.0,13,titanium,7596.080352703296,0.20442593466214398,5189.937024282956
5.0,14,wood,1028.8796713356276,0.027689239542182168,313.12981618963914
