condition,channel_set,held_out_material,n,mae,rmse,nrmse_global_range,mean_error_bias,median_ape_pct
A_not_baseline_centered,S_dS,iron,24,4778.015347338961,5753.179944792435,0.1548297454588069,-773.050721766866,29.79304821627342
A_not_baseline_centered,delta,iron,24,4423.414644417411,5667.057591395072,0.15251201818749205,-2043.764526223789,21.814803868932714
A_not_baseline_centered,P,iron,24,4907.567294391938,6115.324801216615,0.1645757983334654,1091.553065125495,22.246445195078202
A_not_baseline_centered,S,iron,24,4213.375678556408,4988.276521402804,0.13424464235401268,-665.3921999027167,26.542002310383957
A_not_baseline_centered,P_S_delta_dP_dS_ddP_ddS,nickel,24,5376.031718960116,6354.826311736512,0.1710212699277201,-3990.226883286987,27.73180996308129
A_not_baseline_centered,P_delta_dP,nickel,24,5401.0047955038735,6080.281466195807,0.16363271108547994,-2581.0009243568657,27.770526941899753
A_not_baseline_centered,S_delta_dS,nickel,24,6222.442424697176,7268.134605766772,0.19560024921344868,-4285.726842596883,32.458028103741874
A_not_baseline_centered,P_dP,nickel,24,3062.6877110854707,3732.722286143825,0.10045513037623494,-1882.376846665893,11.792068509378344
A_not_baseline_centered,S_dS,nickel,24,6920.00010987217,8098.067354957968,0.21793542341941324,-6039.244793714504,30.901215417200493
A_not_baseline_centered,delta,nickel,24,5821.405715953493,7137.966320013261,0.1920971565336746,-5650.72623224532,28.552735321660315
A_not_baseline_centered,P,nickel,24,5539.677599765238,6358.611478918132,0.17112313645664376,-2104.0307230764834,28.89751066210058
A_not_baseline_centered,S,nickel,24,7907.9776150262505,8764.047389914394,0.2358582974269063,-5615.865283894626,41.95693283835345
A_not_baseline_centered,P_S_delta_dP_dS_ddP_ddS,pdms,24,167.1224010106594,205.16432229603217,0.0055213881893397525,-138.45631419701763,31.762520614303046
A_not_baseline_centered,P_delta_dP,pdms,24,199.07353586558716,229.56110408349429,0.00617795508806607,-194.77144448376418,45.739881795417034
A_not_baseline_centered,S_delta_dS,pdms,24,201.72688673912694,230.8192245165297,0.006211813661632801,-174.51698557949783,41.40043840902124
A_not_baseline_centered,P_dP,pdms,24,181.8670831250239,212.13920768483146,0.005709096507124885,-179.1789257302886,38.896375176345224
A_not_baseline_centered,S_dS,pdms,24,177.66783649226068,218.82975229182165,0.005889152637546937,-119.34702386210415,34.68268236614269
A_not_baseline_centered,delta,pdms,24,267.897493350352,295.1553891352257,0.007943230388955065,-267.897493350352,64.73328380609419
A_not_baseline_centered,P,pdms,24,246.35207470465068,269.44606552390024,0.007251340326614381,-116.76990339905079,52.0553675924737
