input_magnitude,fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1.5,3,cement,24,112.19284778171114,129.20697367295898,0.003477221821193836,-5.891125329832988,17.792431763965173
1.5,4,copper,24,23701.527418147696,24129.084688874536,1.0085892764765945,-23701.527418147696,63.15975615883678
1.5,5,cork,24,150.24440391721254,181.14493061523393,0.004874977624104504,84.31650986387164,78.97726943855376
1.5,6,graphite,24,3850.815089485685,4809.920435161562,0.12944471819054956,-2186.9566746717824,29.521292207269283
1.5,7,gypsum,24,475.8087025289903,710.806909109016,0.019129256144217614,352.46648760944794,59.747829382991554
1.5,8,iron,24,4728.495985501726,5734.800349056058,0.15433511324552546,-229.5509455624392,21.541644741983962
1.5,9,nickel,24,5363.577332566886,6242.429710667582,0.1679964493413782,-3549.517722588202,29.47319583704075
1.5,10,pdms,24,186.8093656909967,221.43899756819306,0.0059593727220666045,-180.2385962845556,43.34013494280743
1.5,11,ps_foam,24,132.06984805968585,176.97692552265508,0.004763833873153334,132.06984805968585,341.6823490137908
1.5,12,pu_foam,24,142.83104797916207,251.21645585054998,0.006760744542609217,142.67485819504373,193.05442865986737
1.5,13,titanium,24,5349.118982849879,6209.351650503216,0.16710625162730258,4754.439357182262,68.19846948703126
1.5,14,wood,24,1529.276575604131,3223.611578836663,0.08675392826207702,1225.340701449479,55.02357190558411
1.64,1,aluminum,24,8154.6508093486555,9438.98913919732,0.25402234935015405,-8153.98975282598,31.93591231319794
1.64,2,bismuth,24,8807.297508854572,9607.298306317445,0.2585518905349697,8807.297508854572,263.7161965331024
1.64,3,cement,24,109.68721366550916,127.25621809919372,0.0034247230306403064,-21.34686933143347,20.758606821300667
1.64,4,copper,24,23700.69576243414,24128.394392021528,1.0085604222530502,-23700.69576243414,62.527989708881826
1.64,5,cork,24,147.68693117003764,177.05675236421513,0.004764956452496893,81.1342358769472,79.51087047966521
1.64,6,graphite,24,3721.4725340960536,4672.4824401195765,0.12574598288365538,-2325.4585311577853,29.302675892026027
1.64,7,gypsum,24,488.5472578014105,719.2193536734968,0.019355652096213493,368.8821444409773,58.2976036476353
1.64,8,iron,24,4677.808906095471,5798.4946065396725,0.15604925494941954,-683.7593195858767,22.590746350166178
1.64,9,nickel,24,5531.188599144772,6447.679655345087,0.17352014180273032,-3552.2307759736195,31.93036101577323
