window_end_s,fold,held_out_material,rmse,nrmse_training_range,bias
4.0,3,cement,5854.942440370733,0.15756838068990242,3034.8070096222887
4.0,4,copper,25737.323687379037,1.0758132358110732,-25600.96715779885
4.0,5,cork,175.73718336820568,0.004729444173422012,77.70185364798786
4.0,6,graphite,3730.0210530823074,0.1003824347137747,392.4616416395238
4.0,7,gypsum,4800.605998563351,0.12919404780279323,2934.6901159714675
4.0,8,iron,7050.823669111908,0.18975197098635396,-4095.445761643168
4.0,9,nickel,9503.549158497166,0.25575979046114494,-7482.014645399075
4.0,10,pdms,246.0571303898069,0.006621896626240974,-133.06259192774746
4.0,11,ps_foam,238.9899868057416,0.006433090591484583,167.9369105223866
4.0,12,pu_foam,148.8505341621404,0.004005869890545049,127.1909481561476
4.0,13,titanium,6376.721184315133,0.17161050537328779,3512.1014631664198
4.0,14,wood,6075.970326184852,0.16351668956052526,2537.711845691236
4.5,1,aluminum,9835.396721206116,0.2646904816890214,-7921.336690217472
4.5,2,bismuth,9865.633797022749,0.2655042227499707,8896.795179346109
4.5,3,cement,6402.197167604957,0.1722961157741317,3190.3604726044664
4.5,4,copper,25711.04115084372,1.0747146328242658,-25464.511906740907
4.5,5,cork,176.91755666342956,0.0047612104137620724,85.1763594147006
4.5,6,graphite,4203.932484697795,0.1131363529000921,135.67799092337796
4.5,7,gypsum,3661.366558119807,0.09853480295505167,2299.8830064565955
4.5,8,iron,6894.710403414158,0.18555064625417617,-3356.7675288143923
4.5,9,nickel,8697.507359133504,0.23406757018953706,-6995.233710747382
4.5,10,pdms,220.47549966733678,0.005933443038626978,-156.72587130218798
4.5,11,ps_foam,217.74116448625765,0.0058611185152874735,159.41514465451755
4.5,12,pu_foam,141.79373061187638,0.003815956988823772,106.56371973716159
4.5,13,titanium,5090.474738639306,0.1369950037390054,1744.9357730622535
4.5,14,wood,6415.490083724571,0.17265385511810408,2457.737465039126
5.0,1,aluminum,10029.962699920325,0.2699266469486413,-8673.261118521508
5.0,2,bismuth,8907.695048880923,0.23972414738935585,7995.37300425659
5.0,3,cement,5335.15852100062,0.1435799407832902,2673.2411158132877
5.0,4,copper,25915.43951732301,1.0832584297903978,-25758.441807863954
5.0,5,cork,186.8979694988099,0.005029803573319764,92.51375060792846
5.0,6,graphite,4728.87976435633,0.127263749308472,140.0449139377009
5.0,7,gypsum,4302.417431171273,0.11578678263466263,2205.346693081758
5.0,8,iron,6997.465924188255,0.18831600580812882,-2400.2552505754597
5.0,9,nickel,8351.847087170694,0.22476515092979066,-5669.157579562486
5.0,10,pdms,224.20535426039572,0.006033820993563779,-165.7204504584278
5.0,11,ps_foam,270.4647621515388,0.007280323079558324,189.87846061826266
5.0,12,pu_foam,126.29048122829325,0.0033987330919739434,101.3589151577447
5.0,13,titanium,5841.863428319763,0.15721639793842648,2628.3166527823055
5.0,14,wood,6005.249703441054,0.161613454111055,2242.089220181338
