outer_fold,held_out_material,trial,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_inner_nrmse,sd_inner_nrmse,mean_inner_r2,performance_index
2,bismuth,47,expected_improvement,21,0.29572157672122173,0.6015997152877361,0.9773246914898903,4,383,2,0.07135573798948379,8.697854145278352,0.8461491736590115,0.31175580882148857,0.0001020919125927581,0.9298791304939062,0.4028370933368214,0.28071352650287923,-0.40159552654841946,0.4730154749625412
2,bismuth,44,expected_improvement,79,0.2781818133248968,0.29226991194215646,1.4216860175337387,3,305,1,0.02994100881198373,4.106774970124377,0.9580597966126394,0.3059421246714233,0.0024411583390127065,7.452746381287315,0.400338436389088,0.3449671587560832,-0.6214325562267506,0.4865802260781088
2,bismuth,17,expected_improvement,68,0.7081159641611298,0.2906571109751095,1.3986085879486134,2,293,4,0.0909994888976706,12.40183031034478,0.6551938493799142,0.3001104266921444,3.659097477132685,3.5665274354324086,0.4237400270125726,0.2874366825617649,-0.5248201483930393,0.4955991976530138
2,bismuth,42,expected_improvement,36,0.26782724096416466,0.31615466915376456,1.2208114718859873,0,424,2,0.011214644836398774,8.77994894141597,0.7200653446567704,0.3829771082408048,0.4687601566113847,8.806616397721259,0.4185728345482067,0.3188203875841414,-0.6094558657167573,0.49827793144424204
2,bismuth,33,expected_improvement,51,0.12303148664105847,1.5183353760708151,1.415958356016349,1,368,3,0.03437524732827498,1.2593673320922907,0.6632597638650413,0.42580952376275427,0.00010590382002902388,0.2303660412543789,0.42299276131152813,0.3649750597215253,-0.8117061731505513,0.5142365262419094
2,bismuth,25,expected_improvement,44,0.4309703766503224,0.7246184826701322,0.8933317138354118,0,259,4,0.03441967342498575,1.3646680468466057,0.6126636535208491,0.3026763107189435,2.6249202071033335,0.3692911715594667,0.443925429375449,0.29084885546298234,-0.638823118125596,0.5166376432411945
2,bismuth,28,expected_improvement,55,0.32130549750623677,0.27738615251806764,1.1516357155723327,2,289,3,0.031236024033487096,11.416466514005167,0.7045077413511802,0.38361279442989726,7.151605344505361,0.2823380293840338,0.4551218775177698,0.30345134079538766,-0.7423351065008649,0.5309847127166167
2,bismuth,41,expected_improvement,66,0.8052177096063587,0.8476802374491851,1.2471909278624558,1,416,2,0.012630878851512293,3.5460612405420635,0.6920858991787341,0.40155191401021995,0.0024668503247426456,0.17617199940398706,0.44730036115973104,0.36991446411775075,-0.9560008287800978,0.5397789771891688
2,bismuth,13,random_initialization,80,0.8292338227771628,0.7132922873504746,0.45088944765544414,3,165,2,0.06570496908811892,2.207999998733185,0.7879551337752444,0.509166821194152,0.000473192823444079,3.5504690500248,0.4402244279262172,0.42574368188311706,-1.1748640908773338,0.5466603483969965
2,bismuth,24,expected_improvement,36,0.09328708978328142,0.3770169359671476,0.33238067863698034,2,256,2,0.10698506037022794,6.524589413564354,0.6457504548677541,0.519596337986896,0.006120458132020009,0.2709769053741383,0.4590664912198479,0.4239747544865859,-1.2641388803063727,0.5650601798414944
2,bismuth,16,expected_improvement,70,0.05426228288997819,0.4545514596867448,0.9794484929202354,1,267,1,0.01006605641023235,1.6499846787900856,0.6037615650268905,0.30982689443783473,0.025204233149079523,10.141807565969106,0.508087153424936,0.2628579350088816,-0.9087127420706219,0.5738016371771565
2,bismuth,9,random_initialization,76,0.4095387441588309,0.3598531439901316,1.3145836976387633,0,121,1,0.04971057717066056,7.817101685192693,0.6337722511893454,0.7015320312500464,0.2379961664280347,41.77485985827081,0.5174058631661194,0.27556145300796503,-1.0040777778698036,0.5862962264181106
2,bismuth,39,expected_improvement,63,0.8839000987866091,1.6806393359283505,1.029625978194635,5,506,4,0.06801540621066346,4.485477835646679,0.9403567746798164,0.3453391928472618,0.03494540023752078,0.10221914755114762,0.4833472340890951,0.48684239367557264,-1.7283665856923078,0.6050578325079883
2,bismuth,19,expected_improvement,78,0.05779476260525125,0.7737963255761356,1.203260028686777,3,563,4,0.016930331722407935,3.851066689963881,0.601398676917412,0.5336351107553059,0.0015055191145189964,75.84270700489175,0.5283861238227113,0.3257895815601311,-1.2433980609107456,0.6098335192127441
2,bismuth,37,expected_improvement,79,0.2054263042479123,1.1132566716289787,1.3746872607256568,1,444,4,0.06719872166552057,18.720893245096224,0.9659498135303801,0.3828906348474156,0.0007693229076992133,0.1558314527978115,0.49367499435051126,0.47274050864353717,-1.7084198127781711,0.6118601215113956
2,bismuth,21,expected_improvement,78,0.24090875041080656,0.6109766118285274,0.3965728784690612,3,158,3,0.134802703411552,1.0964801638257218,0.7653097802680641,0.3037924337840605,0.00036520884085824615,18.529539225059015,0.4917836631980569,0.4828762978667788,-1.754234619492557,0.6125027376647516
2,bismuth,48,expected_improvement,14,0.2947793924921069,1.0787108954437943,0.598598480806675,0,152,3,0.03200955220242224,4.526917156275612,0.6822875521485909,0.30981262461980325,0.16544907129467756,2.2403335674683627,0.5213027558030557,0.49439964819897847,-1.993069707480213,0.6449026678528004
