outer_fold,held_out_material,trial,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,mean_inner_nrmse,sd_inner_nrmse,mean_inner_r2,performance_index
4,copper,11,expected_improvement,37,0.17703749434563565,0.7395775382051317,1.262638410812975,2,0.15987334292270344,0.028966607972686065,0.8545358521145842,0.16711499491587495
4,copper,17,expected_improvement,36,0.1718012876191351,0.707563168022746,0.42076921745403095,3,0.1618940055684483,0.023627879419630356,0.8548555002566699,0.1678009754233559
4,copper,7,random_initialization,24,0.2125620864163406,0.4383026569236207,0.6499753688833254,2,0.1675239236173702,0.022544993007846684,0.8454477631094933,0.17316017186933189
4,copper,20,expected_improvement,39,0.9404196248302593,0.6572569370648346,1.329177240497533,4,0.17009042243856126,0.01955906089583209,0.8405647631386719,0.17498018766251927
4,copper,22,expected_improvement,41,0.28847543277024484,0.8863184516663428,1.1970565098927672,5,0.16704555610530353,0.03773245626899011,0.8406145500418214,0.17647867017255106
4,copper,14,expected_improvement,69,0.8324565726916257,0.9886441663350145,1.0451483956029417,1,0.16976947578368878,0.038625743240568534,0.8317772235469406,0.17942591159383092
4,copper,16,expected_improvement,54,0.4446025506718703,0.6469497109570208,0.4064420352152439,3,0.17462347545694712,0.03194235334806451,0.8291673931074512,0.18260906379396324
4,copper,18,expected_improvement,23,0.6445595193631837,0.8580627242263246,0.8737390081633298,4,0.17648254070401223,0.03217827542571315,0.8237221080308202,0.18452710956044052
4,copper,9,expected_improvement,12,0.06534216003463214,1.2433169722046304,0.5397249767679302,4,0.17551670357800558,0.05146386207826226,0.8167796144291702,0.18838266909757115
4,copper,5,random_initialization,40,0.7675888603630685,1.6333095957543005,0.7527935793500524,0,0.1830418156998189,0.04579528664389758,0.8053257128563147,0.19449063736079328
4,copper,6,random_initialization,18,0.5562692920004004,1.6685276521233987,0.8009800273653562,2,0.18466905260230393,0.046678336125743694,0.8039543390782429,0.19633863663373985
4,copper,1,random_initialization,38,0.7754714792954346,1.714126110790267,0.7481851136037421,1,0.18670735931471716,0.047131846978390984,0.8012200772903635,0.1984903210593149
4,copper,15,expected_improvement,76,0.7226239260450372,0.6102072380482148,0.8935084080101674,3,0.1874055037105371,0.047178739589994724,0.7943199305353119,0.1992001886080358
4,copper,21,expected_improvement,58,0.5092464220100391,1.5425927773740198,0.7891127636859467,4,0.19426361511710102,0.07778472323901714,0.7699439570391742,0.2137097959268553
4,copper,10,expected_improvement,11,0.3208830926254476,1.0068410860462045,0.3131931015348798,4,0.19911144942740144,0.07010130141262201,0.7614133002466601,0.21663677478055696
4,copper,19,expected_improvement,56,0.7174280223906137,1.0908612045633959,0.37373141405001553,4,0.20313721867564077,0.0631071848059114,0.7570794733189431,0.21891401487711862
4,copper,4,random_initialization,64,0.2975966001875258,0.6834184239103919,0.5768729662553697,4,0.20520186549263708,0.08687075102360584,0.7405023820860863,0.22691955324853855
4,copper,13,expected_improvement,79,0.5366719860389431,1.8764854287721588,0.5747095824019477,2,0.21305618390809505,0.09259295286539897,0.7166079388628771,0.23620442212444479
4,copper,24,expected_improvement,72,0.8707543800315143,1.9263623570779922,0.42283554421631164,2,0.23689501667988416,0.12446543762668204,0.6288598019741629,0.2680113760865547
4,copper,23,expected_improvement,25,0.4940143031394649,1.5500233183664347,1.3762307227061765,3,0.27202253687191413,0.18270958869207063,0.44788124553616104,0.3176999340449318
4,copper,2,random_initialization,38,0.26724921625064196,0.3311141949564535,1.1420957099296196,2,0.34299321892181234,0.2948694774072146,-0.04028584110365285,0.41671058827361596
5,cork,23,expected_improvement,33,0.9021071562012286,1.81877705411465,1.4574955931205071,1,0.22341416031738048,0.12190659285292987,0.6383789686347557,0.25389080853061297
5,cork,5,random_initialization,36,0.1560337860203604,0.9348433104662227,1.4924093749414644,1,0.22023991091654244,0.13865682135772506,0.6287878050199992,0.2549041162559737
5,cork,22,expected_improvement,50,0.0950327306875767,0.5175471697389746,0.5226519923051143,2,0.22479536051996912,0.1281109424156936,0.6303664706487377,0.25682309612389254
5,cork,20,expected_improvement,36,0.36998090464494976,0.7248343759648388,0.8818607094583077,3,0.22957855704906083,0.1260986384672355,0.6188718528844855,0.2611032166658697
5,cork,8,random_initialization,10,0.9462533115117732,0.4609997713925176,0.6054225196169161,4,0.22950099936029936,0.13552279674689877,0.6099321023683858,0.26338169854702403
5,cork,11,expected_improvement,62,0.07898368130373826,1.291049003064802,0.5225353063725688,1,0.24032197882954118,0.09669691664105758,0.62851288412572,0.26449620798980555
5,cork,19,expected_improvement,50,0.5416364713059293,0.7045802115047421,0.30213639240842227,3,0.23856115659630986,0.12292494331667557,0.6012306750973158,0.26929239242547875
5,cork,7,random_initialization,78,0.5541945183690815,1.4042347572088427,0.8723643847962996,1,0.2440148959416308,0.10683786813663076,0.609887317298699,0.2707243629757885
5,cork,2,random_initialization,64,0.8304463702875089,1.462306938042605,0.7179109115934454,1,0.24162412853755885,0.12206964051413649,0.5893822862923699,0.272141538666093
5,cork,1,random_initialization,37,0.5269797332781329,1.8741190151955283,1.0780582057341048,3,0.26272942933564286,0.11897104129521906,0.5473764477370151,0.2924721896594476
5,cork,17,expected_improvement,36,0.6183607175555837,0.680690706121646,1.2786609304121286,5,0.2674277136121219,0.10023629533816401,0.552483412587633,0.2924867874466629
5,cork,21,expected_improvement,17,0.0688396640940179,1.1154353743107164,0.5503162136970088,3,0.270296252843878,0.10889206888016155,0.5372665009314637,0.2975192700639184
5,cork,3,random_initialization,66,0.6739720385915939,0.5624476590478815,1.492731709080226,0,0.27553922394314107,0.09962660737156287,0.5338758692072347,0.30044587578603177
