index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary,Label,eff,Elbow time,Elbow value,Elbow index,Time from elbow,Primary aligned,Secondary aligned,diff,id
106,cement,1,1.73,1.0,1.0,2700.0,880.0,10.60066,0.5431235654853778,0.5377835647359598,ceramic,2027,9.50066,0.0006603,95.0,1.0999999999999996,-2.5599999999999755e-06,3.822000000000005e-05,-0.4073355070332219,cement_trial_1
107,cement,1,1.73,1.0,1.0,2700.0,880.0,10.70066,0.5171878153515408,0.5264526051088222,ceramic,2027,9.50066,0.0006603,95.0,1.1999999999999993,-2.6599999999999237e-06,3.820000000000006e-05,-0.3788724763341522,cement_trial_1
108,cement,1,1.73,1.0,1.0,2700.0,880.0,10.80066,0.4912520652176756,0.5151216454816847,ceramic,2027,9.50066,0.0006603,95.0,1.3000000000000007,-2.7599999999999804e-06,3.818000000000007e-05,-0.35040944563504395,cement_trial_1
109,cement,1,1.73,1.0,1.0,2700.0,880.0,10.9007,0.46531631508383864,0.4924597262274095,ceramic,2027,9.50066,0.0006603,95.0,1.4000400000000006,-2.8599999999999286e-06,3.814000000000009e-05,-0.32906217261074167,cement_trial_1
110,cement,1,1.73,1.0,1.0,2700.0,880.0,11.0007,0.43938056494997346,0.48112876660027193,ceramic,2027,9.50066,0.0006603,95.0,1.5000400000000003,-2.9599999999999852e-06,3.81200000000001e-05,-0.3005991419116334,cement_trial_1
111,cement,1,1.73,1.0,1.0,2700.0,880.0,11.100700000000002,0.4186319648429039,0.48112876660027193,ceramic,2027,9.50066,0.0006603,95.0,1.6000400000000017,-3.039999999999944e-06,3.81200000000001e-05,-0.2721361112125637,cement_trial_1
112,cement,1,1.73,1.0,1.0,2700.0,880.0,11.20066,0.39788336473583424,0.4471358877187978,ceramic,2027,9.50066,0.0006603,95.0,1.6999999999999993,-3.1199999999999024e-06,3.8060000000000025e-05,-0.2650203535378349,cement_trial_1
113,cement,1,1.73,1.0,1.0,2700.0,880.0,11.3007,0.3719476146019691,0.4471358877187978,ceramic,2027,9.50066,0.0006603,95.0,1.800040000000001,-3.219999999999959e-06,3.8060000000000025e-05,-0.22944156516395917,cement_trial_1
114,cement,1,1.73,1.0,1.0,2700.0,880.0,11.4007,0.3511990144948995,0.4244739684645226,ceramic,2027,9.50066,0.0006603,95.0,1.9000400000000006,-3.2999999999999176e-06,3.8020000000000046e-05,-0.21521004981442432,cement_trial_1
115,cement,1,1.73,1.0,1.0,2700.0,880.0,11.500660000000002,0.33563756441456916,0.4018120492102475,ceramic,2027,9.50066,0.0006603,95.0,2.0000000000000018,-3.359999999999995e-06,3.798000000000007e-05,-0.20809429213961833,cement_trial_1
116,cement,1,1.73,1.0,1.0,2700.0,880.0,11.60066,0.32007611433426697,0.3904810895831099,ceramic,2027,9.50066,0.0006603,95.0,2.0999999999999996,-3.419999999999964e-06,3.796000000000008e-05,-0.19386277679008349,cement_trial_1
117,cement,1,1.73,1.0,1.0,2700.0,880.0,11.7007,0.29932751422719733,0.3451572510744982,ceramic,2027,9.50066,0.0006603,95.0,2.2000399999999996,-3.4999999999999224e-06,3.788000000000001e-05,-0.19386277679012207,cement_trial_1
