trial,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,pooled_nrmse_range,pooled_r2,mean_fold_nrmse_training_range,sd_fold_nrmse_training_range,worst_fold_nrmse_training_range,prediction_range_coverage,performance_index
19,expected_improvement,64,0.8839414327330196,1.8595715311295917,0.8524983305538729,4,1030,6,0.06781491050014736,0.1323110912342699,0.7784455186110372,0.6875202189146115,0.6315066420480614,0.023282434738181784,0.21097035558968694,0.5108094686526256,0.15438511691055737,0.25709092157646285,1.04217660627798,0.7595075484631265,0.27524308598380265
46,expected_improvement,12,0.7620608791743038,0.3514672901697301,1.48640125137334,4,1199,4,0.022183368772916063,1.0152675314656916,0.7533402763823965,0.9010155550733279,2.5735889616010104e-06,1.4201727948351586,0.2124676647551541,0.5038410135507692,0.15790827382750344,0.25300630256161877,1.0234543948743677,0.801364077795241,0.2757192403955588
36,expected_improvement,69,0.6056352835429855,1.836824126297673,0.3890109209482046,2,202,6,0.08891670696921453,0.13936495075130334,0.9771477866068881,0.8179591735674709,0.0006605451803517262,7.101925954494525,0.21367044276335306,0.49820760791115803,0.16407204441685866,0.2505496392144515,1.026195941439633,0.7634601029724956,0.27630785256696594
37,expected_improvement,19,0.9031662147573752,1.0485923093192286,0.9702668201873532,5,765,3,0.1760346296718283,1.314244933015354,0.6676407754630822,0.9209265572529023,9.11026372970249e-06,0.1420726713215086,0.21194432791125858,0.5062822178766739,0.1564291665893188,0.25894923076391974,1.0556538007875023,0.7599609568355488,0.2766816356022385
50,expected_improvement,19,0.47631122890913236,1.9546950968511678,1.4369349254942936,4,449,3,0.03331397948921902,0.1650849119297437,0.7798221760030916,0.6143620522200601,1.9079775758215158,0.05659903091849843,0.21240801125685185,0.50411958266199,0.1564974930792455,0.25731516771743274,1.0440492730773339,0.7130603757941361,0.27673680318621
47,expected_improvement,20,0.22754542217044987,0.9434954175681637,1.4980550542967614,3,656,5,0.025887803954179875,5.637225505852806,0.9682064283265914,0.9055335379857012,0.3628482798114148,1.2264962328689106,0.21530876670234556,0.4904830933834119,0.170575697180928,0.24751008784924097,1.0257268646405109,0.7494469281833981,0.2771862886646558
14,random_initialization,28,0.6671846469580427,1.7390379386577963,0.8045035696276024,4,692,6,0.01826496557587655,0.20260573919094754,0.7139258307212667,0.596996626577785,3.148489351128781e-05,0.015731906289087216,0.2127563521132105,0.5024917999067915,0.15712012205686424,0.2584602781888061,1.0513275527295922,0.8540160758055115,0.27737142166041207
24,expected_improvement,31,0.8357003882534916,1.338985651644271,1.4549134441019904,3,629,2,0.03940921880339188,0.352553775196586,0.7497591989140662,0.8036570996450918,0.5102074555706646,0.1082153261796655,0.21300957342879465,0.5013068326913426,0.15538331823456913,0.2599411208567445,1.0526584063298774,0.8527437756170211,0.27799485364298077
28,expected_improvement,63,0.3679224533953857,0.5429658319044565,1.4820654773769728,0,1053,2,0.03247302029591839,9.465279046657956,0.7160121304645984,0.7968763411945039,0.01586955359039234,26.976447445219794,0.21427300769294602,0.49537344110063264,0.16130450397526447,0.2558437944166721,1.043784375783535,0.821220703769346,0.27823395629711406
23,expected_improvement,66,0.26663142595038675,0.33726761169378183,0.3344272604896292,4,1177,4,0.12521621572110123,0.14036735409301263,0.8527231111834717,0.41024991321302434,5.113445858997899e-05,1.8802977575552011,0.21487343957955682,0.4925413681111416,0.1615793795821426,0.25637361804248504,1.0449573837733888,0.7339671325493295,0.2789668440901781
35,expected_improvement,18,0.8823022623056963,0.37085087703667735,1.4872065250208613,4,473,5,0.18257465333206327,8.555672712966084,0.6945583273441832,0.43352460386955327,3.194729112486646e-06,0.17645475845827624,0.21499434621468602,0.49197012601018597,0.16267367670769434,0.2567013588940632,1.050332701373747,0.821658437319003,0.2791696859382018
