trial,optuna_trial_number,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,objective_J,pooled_nrmse_range,pooled_r2,pooled_rmse,pooled_mae,mean_fold_nrmse_training_range,sd_fold_nrmse_training_range,worst_fold_nrmse_training_range,prediction_range_coverage,duration_seconds,performance_index
60,59,tpe,22,0.4550026167827025,0.5295694365808402,0.32322981484298513,1,836,5,0.0719722602649286,0.9206172901714696,0.9025779869008739,0.47699457031814757,0.12319470081939765,0.7965465711962825,0.27953776899934885,0.21509322872698214,0.49150270141489605,7992.4567860376665,4333.011649343717,0.15840080265864248,0.25777816108946683,1.0404920827476871,0.882878127908651,152.14417960005812,0.27953776899934885
99,98,tpe,10,0.5774109526446771,0.5959270223739489,1.0360780700990282,2,1002,2,0.02160502373283126,0.4105410270496245,0.981953237846587,0.584551052574668,0.023272961532917014,0.034956549277506285,0.2795770387937544,0.21452469049409856,0.49418728688460967,7971.330982661959,4256.187927419863,0.15438651733177133,0.2602093931986234,1.0433377170625817,0.8198317595194803,78.47833079984412,0.2795770387937544
64,63,tpe,21,0.8480345155145854,0.4973465418177873,0.48248551714014687,0,833,4,0.15995172993465126,1.3135145254528664,0.9812847649213782,0.9524719196987382,0.9399270624065893,4.462284963154853,0.27972040714208773,0.2165523513913983,0.4845803399321684,8046.675019265625,4474.980766968885,0.1640439951793244,0.25267222300275777,1.0240857187513492,0.7984883067775964,103.86792759993114,0.27972040714208773
29,28,tpe,32,0.0650136188308438,0.8637765826322615,0.6553807599454474,1,822,6,0.07394373008447926,8.305814556789052,0.8388589720266497,0.47205639860492304,9.004465556293814e-05,0.6616888890296959,0.2798504465316485,0.21627952420492635,0.4858782423861152,8036.537278013431,4420.690417948399,0.1608019861277516,0.2542836893068884,1.022705742396371,0.947734985141113,279.27406150009483,0.2798504465316485
93,92,tpe,34,0.6231621186971141,1.1744468249783744,0.6612507899195724,1,1121,3,0.11344699036727912,1.0277466817933572,0.9967341510171269,0.8302493683119843,0.16558613571026973,0.5316677796856103,0.27993798185452634,0.2162249538230463,0.4861376500328526,8034.509546031558,4362.101202640109,0.16103054172559478,0.2548521121259201,1.0272149314179808,0.9759297999866674,181.41981690004468,0.27993798185452634
35,34,tpe,13,0.3442442114164353,0.37944617277254455,1.1802370905699504,0,725,3,0.019987611029272843,4.280663600475881,0.8095188333860215,0.4908195335682593,0.002001099622366615,0.0932754231232978,0.27999689689124563,0.2154305700401635,0.4899064478968186,8004.991749986575,4275.834064080666,0.1572568442044897,0.2582653074043284,1.037558458387204,0.8831962817302367,94.63936990010552,0.27999689689124563
12,11,startup_or_anchor,50,0.8758717168111325,0.5929707003854217,0.5808017759628432,1,840,6,0.01637748270024996,7.9374954476079,0.8129628961300991,0.7117448519065102,1.8478856839915143e-05,3.091563563729864,0.2800058457685224,0.21781173507566387,0.4785679499092921,8093.471330488931,4568.904934339061,0.16745356133573894,0.24877644277143415,1.007960763040874,0.9347023094771505,466.2185398999136,0.2800058457685224
70,69,tpe,23,0.07109519867846992,0.7198221833945141,0.3205902088400397,1,524,5,0.06041920774478969,5.0623463338826715,0.7271814189134018,0.4393142219046141,0.004716145804293299,9.901898791327362,0.2800904245106899,0.21603871223528695,0.48702248152339556,8027.58916155112,4334.332893280291,0.15898994404295716,0.25620684910161173,1.0286086378720365,0.9176134489733688,150.68434360018,0.2800904245106899
78,77,tpe,44,0.9232250269274738,0.5112646082939318,0.4634154552752472,0,1105,2,0.11686230183164344,1.522214467543283,0.9398361519183256,0.689337754252768,0.8141849252292996,0.18558990151932406,0.2801572276868689,0.21609191607081313,0.48676978855106434,8029.566115260035,4383.042128324545,0.16070578487611306,0.2562612464642232,1.035021462401572,0.8239949859245169,219.98502089991234,0.2801572276868689
17,16,startup_or_anchor,22,0.5763049440261531,0.9305048393971361,1.2514105491241228,1,531,6,0.023723263009667487,6.310347962962917,0.8504712725740328,0.7456238989205892,0.025284160305374354,0.30804884965454593,0.2802138391054815,0.21704771927721472,0.4822195770663612,8065.081951199331,4566.926287133829,0.16344572127264612,0.252664479313067,1.0192334737149982,0.9610937939480569,167.04360530013219,0.2802138391054815
61,60,tpe,14,0.7377049171620564,0.28112932092261933,0.38174221722703583,0,537,4,0.030758780605195105,0.47021988074523696,0.9943466184546729,0.5124968338871083,0.04699979253487849,0.13558151915499714,0.28023359491847444,0.21520991064516984,0.4909508613256618,7996.79246500974,4303.186939054758,0.15643489554242632,0.2600947370932185,1.046570684841257,0.8831430040116466,99.54923620005138,0.28023359491847444
32,31,tpe,20,0.8169897557927284,0.47887995893174096,0.7250071171776696,2,936,2,0.025861430607991256,6.640321319818914,0.8533345798018378,0.4309223497305028,0.11624043071810801,0.01515449364244196,0.28030051854882243,0.21586789226434025,0.487833374728709,8021.2418151280635,4328.432037656653,0.1577089237648833,0.2577305051379288,1.0338392118583917,0.881419383013242,114.50409090006724,0.28030051854882243
21,20,tpe,16,0.27308965610802266,0.5303431888318924,0.3975985593320983,0,560,5,0.019866664051797392,4.932743818435116,0.8730541885700848,0.5044448101856421,0.00018880639010225624,3.504071112178612,0.28030217374560396,0.21647984193098654,0.4849254439619588,8043.980705119384,4432.649102662211,0.16122755478367587,0.25528932725846953,1.0292641840036576,0.8962498067344762,126.85580760007724,0.28030217374560396
65,64,tpe,46,0.887213480798218,1.0724915371885775,0.6422498412436654,3,894,2,0.1936132494103361,0.7441332026271985,0.9045693182367903,0.7864307073458444,0.1583522884073186,0.05336444962063396,0.2805010978782062,0.216180614207001,0.4863483761565167,8032.861969921194,4364.348279591136,0.15999298287609068,0.25728193468482075,1.0379886043906374,0.9101636726479885,212.77045119996183,0.2805010978782062
31,30,tpe,44,0.26318359839122896,1.7036944480411529,1.1598586804354785,3,967,4,0.12586032185623183,1.2618300705320058,0.7813685826736673,0.959078680200613,1.2269075052488956,0.07080195590842589,0.2808942919904632,0.21931337475416698,0.47135344285583103,8149.269415392243,4660.761846045005,0.16859244413914226,0.2463236689451847,0.9901527432436401,0.9361860372204475,220.14337269985117,0.2808942919904632
59,58,tpe,17,0.8365540620253358,0.28805680699430425,0.8845657435980057,0,735,4,0.04746111773038462,0.21218687818733745,0.8463007837967305,0.5563606883879374,0.000506347011077997,1.0730851373229169,0.2810414324196562,0.2166457206024795,0.484135785057332,8050.144442218312,4371.41500285616,0.1599223466663507,0.25758284726870684,1.0371937776263478,0.8845394906453157,134.29757630010135,0.2810414324196562
24,23,tpe,69,0.6716521042995094,1.5423824021979387,1.2873068527886682,5,922,4,0.18881784005216193,0.5893736291302386,0.8383907471166645,0.8346312556561055,0.8549878911775954,0.014589110113323233,0.28107296858587855,0.2189555258733135,0.4730771976629128,8135.972429089695,4631.636724254072,0.1674744068641932,0.24846977085026015,1.0002798298609064,0.8438086446821454,283.63195650000125,0.28107296858587855
