trial_id,Sample,Temperature,Trial,reservoir_seed,P_peak_to_peak,P_net_change,dPdt_max_abs,dPdt_abs_auc,state_mean_rms,state_temporal_variability,state_mean_abs,state_path_length,state_saturation_fraction
40C__cement_trial_6,cement,40C,6,44,3.908111888112332e-06,-3.908111888112332e-06,3.0237732223884622e-06,3.9080523585047496e-06,0.5475480194929094,0.06041959937764577,0.5211435596520527,1.2195464096138116,0.0
40C__copper_trial_1,copper,40C,1,42,8.400979020979507e-06,-8.400979020979507e-06,9.503216783216914e-06,8.400943732204811e-06,0.35029727307342173,0.04032181862768659,0.2816025480566053,1.0077526715106302,0.0
40C__copper_trial_1,copper,40C,1,43,8.400979020979507e-06,-8.400979020979507e-06,9.503216783216914e-06,8.400943732204811e-06,0.5370921517001326,0.05318613510111779,0.4530301830569402,1.0178582016075726,0.0
40C__copper_trial_1,copper,40C,1,44,8.400979020979507e-06,-8.400979020979507e-06,9.503216783216914e-06,8.400943732204811e-06,0.547929947668897,0.05951364075493959,0.5215000304708692,1.2195442807020158,0.0
40C__copper_trial_2,copper,40C,2,42,7.881538461539735e-06,-7.881538461539735e-06,7.967508487589925e-06,7.881584895468712e-06,0.35026751877265844,0.04092891275315928,0.28167571342792624,1.0077478524495846,0.0
40C__copper_trial_2,copper,40C,2,43,7.881538461539735e-06,-7.881538461539735e-06,7.967508487589925e-06,7.881584895468712e-06,0.5366909357090718,0.05394948570755777,0.45281111658047524,1.0178564164793322,0.0
40C__copper_trial_2,copper,40C,2,44,7.881538461539735e-06,-7.881538461539735e-06,7.967508487589925e-06,7.881584895468712e-06,0.5475476821839322,0.06041943584129039,0.5211434101414602,1.2195435167542215,0.0
40C__copper_trial_3,copper,40C,3,42,7.94405594405675e-06,-7.94405594405675e-06,8.783143646139309e-06,7.94401249362688e-06,0.3502674836932036,0.040929020588814514,0.2816757131811987,1.0077495675313835,0.0
40C__copper_trial_3,copper,40C,3,43,7.94405594405675e-06,-7.94405594405675e-06,8.783143646139309e-06,7.94401249362688e-06,0.5366910301640302,0.053949554865996105,0.4528112140109785,1.0178573630961154,0.0
40C__copper_trial_3,copper,40C,3,44,7.94405594405675e-06,-7.94405594405675e-06,8.783143646139309e-06,7.94401249362688e-06,0.5475476342940309,0.06041942848675726,0.5211433911351973,1.2195431022345564,0.0
40C__copper_trial_4,copper,40C,4,42,8.784335664336566e-06,-8.784335664336566e-06,8.910489510489736e-06,8.784245560118544e-06,0.35029732935319796,0.0403217781361348,0.281602567251249,1.0077526024881869,0.0
40C__copper_trial_4,copper,40C,4,43,8.784335664336566e-06,-8.784335664336566e-06,8.910489510489736e-06,8.784245560118544e-06,0.5370920580438581,0.0531860983308111,0.4530300938726303,1.017857780110986,0.0
40C__copper_trial_4,copper,40C,4,44,8.784335664336566e-06,-8.784335664336566e-06,8.910489510489736e-06,8.784245560118544e-06,0.547930002921637,0.059513630689120134,0.5215000517255957,1.2195441838809824,0.0
