optuna_trial_number,performance_index,params_colsample_bytree,params_input_magnitude,params_leak_rate,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_res_size,params_spectral_radius,params_subsample,user_attrs_duration_seconds,user_attrs_mean_fold_nrmse_training_range,user_attrs_objective_J,user_attrs_pooled_mae,user_attrs_pooled_nrmse_range,user_attrs_pooled_r2,user_attrs_pooled_rmse,user_attrs_prediction_range_coverage,user_attrs_sd_fold_nrmse_training_range,user_attrs_worst_fold_nrmse_training_range,state,trial,res_size,leak_rate,input_magnitude,spectral_radius,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda
48,0.2856830164218632,0.7514175973596747,1.9918574917411216,0.2328472907292221,0.0216306922354847,3,0.3095005116348449,480,0.0725894977304049,0.0118135315434571,11,0.3576735926148702,0.7380748836477119,30.938014999992447,0.1729277701580835,0.2856830164218632,4827.295404531593,0.222911098652841,0.4538668266972177,8282.954017917531,0.6206764663741239,0.2510876710760887,1.0170674308275067,COMPLETE,49,11,0.2328472907292221,1.9918574917411216,0.3576735926148702,480,3,0.0216306922354847,0.3095005116348449,0.7380748836477119,0.7514175973596747,0.0725894977304049,0.0118135315434571
84,0.2857059351674519,0.6598260212396081,0.7116481029798476,0.0817642914620253,0.1300468355271798,2,2.4600723367010193,1109,9.051863470317174e-06,0.0190614051604097,13,0.542210348484252,0.9176210498130972,37.90931020802236,0.1729139421679763,0.2857059351674519,4764.4849339656985,0.2234435822318078,0.4512545361107017,8302.740098675884,0.8137258261652645,0.2490494117425762,1.0021239200595744,COMPLETE,85,13,0.0817642914620253,0.7116481029798476,0.542210348484252,1109,2,0.1300468355271798,2.4600723367010193,0.9176210498130972,0.6598260212396081,9.051863470317174e-06,0.0190614051604097
39,0.2857561092733591,0.6884476246352099,1.8467635718508624,0.3727814612711474,0.0598209863554188,3,0.5735455686614257,1022,0.1944884003498112,0.0963080534012561,10,0.4904735501671515,0.8193975233513044,47.67058970799553,0.1762508774676995,0.2857561092733591,4819.190465113196,0.2241414672602496,0.4478213715111259,8328.672183867295,0.8978153912780805,0.2464585680524376,0.9969684632784388,COMPLETE,40,10,0.3727814612711474,1.8467635718508624,0.4904735501671515,1022,3,0.0598209863554188,0.5735455686614257,0.8193975233513044,0.6884476246352099,0.1944884003498112,0.0963080534012561
66,0.2858837664985001,0.6680673224246034,1.69937293707338,0.1359213122126631,0.0254420769659975,3,0.3012556665071486,1097,2.030271143919677,0.0336296700274824,10,0.8052946819990057,0.9321352767218128,52.252963167004054,0.1747752841714573,0.2858837664985001,4855.775350018498,0.2238591524080105,0.4492114762176555,8318.181898933957,0.7921113275217748,0.2480984563619583,1.001986912968541,COMPLETE,67,10,0.1359213122126631,1.69937293707338,0.8052946819990057,1097,3,0.0254420769659975,0.3012556665071486,0.9321352767218128,0.6680673224246034,2.030271143919677,0.0336296700274824
87,0.2859927827739986,0.5831930530103799,1.4759635232692625,0.1151965650196138,0.1203233637144757,2,8.554865160401455,1094,0.0017013212146649,0.0215604059003376,14,0.4779365505745152,0.8777776843484275,37.84375237501808,0.1743434699590755,0.2859927827739986,4773.596662818895,0.2238931819694972,0.449044009162287,8319.44637295408,0.8956744537439992,0.2483984032180055,1.001783226254746,COMPLETE,88,14,0.1151965650196138,1.4759635232692625,0.4779365505745152,1094,2,0.1203233637144757,8.554865160401455,0.8777776843484275,0.5831930530103799,0.0017013212146649,0.0215604059003376
90,0.286065489284134,0.8107915391000842,0.6212967660381371,0.5133106893543089,0.1358369565610021,2,9.359722843421167,1034,0.0052260415337763,0.0180467094862054,17,0.5848030380876678,0.8692285872509025,42.89767745800782,0.1766623734190958,0.286065489284134,4879.538251889655,0.2246290694224581,0.4454163158513214,8346.79055622748,0.8334329239009817,0.2457456794467034,0.9918648114356958,COMPLETE,91,17,0.5133106893543089,0.6212967660381371,0.5848030380876678,1034,2,0.1358369565610021,9.359722843421167,0.8692285872509025,0.8107915391000842,0.0052260415337763,0.0180467094862054
78,0.2862601880280715,0.4030843562882644,1.3509498162012918,0.4006551042638669,0.0471974732714082,4,4.489852529817249,590,0.0045413290389,0.0509610930840951,10,0.4757452333270153,0.9466160297817064,34.95291287501459,0.1756502643808408,0.2862601880280715,4803.865591240585,0.2241955771826052,0.4475547367867266,8330.68280604579,0.7993616720221761,0.2482584433818652,1.004790534956862,COMPLETE,79,10,0.4006551042638669,1.3509498162012918,0.4757452333270153,590,4,0.0471974732714082,4.489852529817249,0.9466160297817064,0.4030843562882644,0.0045413290389,0.0509610930840951
62,0.2862795413929655,0.6037261639109139,1.957071687580755,0.3426321697087037,0.0827459349231374,2,4.210973886968679,518,0.0014666792934906,0.3058107869207534,14,0.317405651947151,0.9968953402929324,24.91693854198093,0.1738986694544115,0.2862795413929655,4827.106788186323,0.2238914482145771,0.449052541972022,8319.381949906652,0.8515892713609642,0.2495523727135533,1.006789249965103,COMPLETE,63,14,0.3426321697087037,1.957071687580755,0.317405651947151,518,2,0.0827459349231374,4.210973886968679,0.9968953402929324,0.6037261639109139,0.0014666792934906,0.3058107869207534
77,0.2864494853399644,0.4718806393863287,1.0071060465920936,0.3986867251078597,0.1234718314086099,2,5.585064090575629,868,0.0029073138834552,0.0164221693246705,10,0.3094604942793523,0.9670112691215969,29.51677254197421,0.1733386967303606,0.2864494853399644,4793.982089578093,0.2240056720777305,0.4484902391189337,8323.626292211571,0.8507522121624519,0.2497752530489354,1.0051929572451943,COMPLETE,78,10,0.3986867251078597,1.0071060465920936,0.3094604942793523,868,2,0.1234718314086099,5.585064090575629,0.9670112691215969,0.4718806393863287,0.0029073138834552,0.0164221693246705
64,0.2865370746395993,0.4491595271950872,1.9647039911344024,0.4748407216205239,0.0621073150217656,3,7.05280827637875,880,0.4218752506744955,0.5551891008478919,10,0.5514615707021306,0.9415872985695256,38.01823333298671,0.1749117700345902,0.2865370746395993,4755.06533265341,0.2241390831433188,0.4478331181230468,8328.583594599955,0.8060120529286446,0.249591965985122,1.0098981121017312,COMPLETE,65,10,0.4748407216205239,1.9647039911344024,0.5514615707021306,880,3,0.0621073150217656,7.05280827637875,0.9415872985695256,0.4491595271950872,0.4218752506744955,0.5551891008478919
99,0.2866219477545557,0.8362539240791638,1.7297711024152909,0.3274129669196866,0.0741478461123388,2,6.171067537204545,864,0.0028826249548175,7.078319967349615,16,0.4200821175010182,0.7797986259649134,36.380693749990314,0.1755168581680048,0.2866219477545557,4885.594589296684,0.2247802943079331,0.4446693503336485,8352.409786406346,0.812222039691635,0.24736661378649,0.9958096674424236,COMPLETE,100,16,0.3274129669196866,1.7297711024152909,0.4200821175010182,864,2,0.0741478461123388,6.171067537204545,0.7797986259649134,0.8362539240791638,0.0028826249548175,7.078319967349615
36,0.2866600548335551,0.7366361687107581,1.9051013237849583,0.6149831970183602,0.016514929112882,3,0.1623745586969118,835,0.0780077340990795,0.0518044206276007,13,0.5989610184948679,0.9756717992860982,44.92744416597998,0.1754259269797322,0.2866600548335551,4870.431393165028,0.2241744320041095,0.4476589404732506,8329.897091282195,0.69299792785335,0.2499424913177825,1.0139080198408068,COMPLETE,37,13,0.6149831970183602,1.9051013237849583,0.5989610184948679,835,3,0.016514929112882,0.1623745586969118,0.9756717992860982,0.7366361687107581,0.0780077340990795,0.0518044206276007
71,0.2873266054372645,0.4842641025214322,0.7005552495516305,0.4069440946252296,0.1166119047107508,2,3.754919984530966,1007,0.00162358675849,0.0159854768166543,12,0.8718799292967855,0.8448603851222585,34.42809499998111,0.1732630266570146,0.2873266054372645,4756.369684283308,0.223956297029891,0.4487333384965815,8321.791608997686,0.8280661715524124,0.2534812336294939,1.0270890616335029,COMPLETE,72,12,0.4069440946252296,0.7005552495516305,0.8718799292967855,1007,2,0.1166119047107508,3.754919984530966,0.8448603851222585,0.4842641025214322,0.00162358675849,0.0159854768166543
